Iteration	MSE
725	0.032846
726	0.032844
727	0.032842
728	0.032840
729	0.032838
730	0.032836
731	0.032834
732	0.032832
733	0.032831
734	0.032829
735	0.032827
736	0.032825
737	0.032823
738	0.032821
739	0.032819
740	0.032817
741	0.032815
742	0.032813
743	0.032811
744	0.032809
745	0.032807
746	0.032805
747	0.032804
748	0.032802
749	0.032800
750	0.032798
751	0.032796
752	0.032794
753	0.032792
754	0.032790
755	0.032788
756	0.032786
757	0.032784
758	0.032782
759	0.032780
760	0.032778
761	0.032776
762	0.032774
763	0.032772
764	0.032770
765	0.032768
766	0.032766
767	0.032764
768	0.032762
769	0.032760
770	0.032758
771	0.032756
772	0.032754
773	0.032752
774	0.032750
775	0.032748
776	0.032746
777	0.032744
778	0.032742
779	0.032740
780	0.032738
781	0.032736
782	0.032734
783	0.032732
784	0.032730
785	0.032728
786	0.032726
787	0.032724
788	0.032722
789	0.032720
790	0.032718
791	0.032716
792	0.032714
793	0.032712
794	0.032710
795	0.032708
796	0.032706
797	0.032704
798	0.032702
799	0.032700
800	0.032698
801	0.032696
802	0.032694
803	0.032691
804	0.032689
805	0.032687
806	0.032685
807	0.032683
808	0.032681
809	0.032679
810	0.032677
811	0.032675
812	0.032673
813	0.032671
814	0.032669
815	0.032667
816	0.032665
817	0.032662
818	0.032660
819	0.032658
820	0.032656
821	0.032654
822	0.032652
823	0.032650
824	0.032648
825	0.032646
826	0.032644
827	0.032641
828	0.032639
829	0.032637
830	0.032635
831	0.032633
832	0.032631
833	0.032629
834	0.032627
835	0.032625
836	0.032622
837	0.032620
838	0.032618
839	0.032616
840	0.032614
841	0.032612
842	0.032610
843	0.032607
844	0.032605
845	0.032603
846	0.032601
847	0.032599
848	0.032597
849	0.032595
850	0.032592
851	0.032590
852	0.032588
853	0.032586
854	0.032584
855	0.032582
856	0.032579
857	0.032577
858	0.032575
859	0.032573
860	0.032571
861	0.032569
862	0.032566
863	0.032564
864	0.032562
865	0.032560
866	0.032558
867	0.032555
868	0.032553
869	0.032551
870	0.032549
871	0.032547
872	0.032544
873	0.032542
874	0.032540
875	0.032538
876	0.032536
877	0.032533
878	0.032531
879	0.032529
880	0.032527
881	0.032524
882	0.032522
883	0.032520
884	0.032518
885	0.032516
886	0.032513
887	0.032511
888	0.032509
889	0.032507
890	0.032504
891	0.032502
892	0.032500
893	0.032498
894	0.032495
895	0.032493
896	0.032491
897	0.032488
898	0.032486
899	0.032484
900	0.032482
901	0.032479
902	0.032477
903	0.032475
904	0.032473
905	0.032470
906	0.032468
907	0.032466
908	0.032463
909	0.032461
910	0.032459
911	0.032457
912	0.032454
913	0.032452
914	0.032450
915	0.032447
916	0.032445
917	0.032443
918	0.032440
919	0.032438
920	0.032436
921	0.032433
922	0.032431
923	0.032429
924	0.032426
925	0.032424
926	0.032422
927	0.032419
928	0.032417
929	0.032415
930	0.032412
931	0.032410
932	0.032408
933	0.032405
934	0.032403
935	0.032401
936	0.032398
937	0.032396
938	0.032394
939	0.032391
940	0.032389
941	0.032387
942	0.032384
943	0.032382
944	0.032379
945	0.032377
946	0.032375
947	0.032372
948	0.032370
949	0.032368
950	0.032365
951	0.032363
952	0.032360
953	0.032358
954	0.032356
955	0.032353
956	0.032351
957	0.032348
958	0.032346
959	0.032343
960	0.032341
961	0.032339
962	0.032336
963	0.032334
964	0.032331
965	0.032329
966	0.032327
967	0.032324
968	0.032322
969	0.032319
970	0.032317
971	0.032314
972	0.032312
973	0.032309
974	0.032307
975	0.032305
976	0.032302
977	0.032300
978	0.032297
979	0.032295
980	0.032292
981	0.032290
982	0.032287
983	0.032285
984	0.032282
985	0.032280
986	0.032277
987	0.032275
988	0.032272
989	0.032270
990	0.032267
991	0.032265
992	0.032262
993	0.032260
994	0.032257
995	0.032255
996	0.032252
997	0.032250
998	0.032247
999	0.032245
1000	0.032242
1001	0.032240
1002	0.032237
1003	0.032235
1004	0.032232
1005	0.032230
1006	0.032227
1007	0.032225
1008	0.032222
1009	0.032220
1010	0.032217
1011	0.032215
1012	0.032212
1013	0.032209
1014	0.032207
1015	0.032204
1016	0.032202
1017	0.032199
1018	0.032197
1019	0.032194
1020	0.032192
1021	0.032189
1022	0.032186
1023	0.032184
1024	0.032181
1025	0.032179
1026	0.032176
1027	0.032173
1028	0.032171
1029	0.032168
1030	0.032166
1031	0.032163
1032	0.032160
1033	0.032158
1034	0.032155
1035	0.032153
1036	0.032150
1037	0.032147
1038	0.032145
1039	0.032142
1040	0.032140
1041	0.032137
1042	0.032134
1043	0.032132
1044	0.032129
1045	0.032126
1046	0.032124
1047	0.032121
1048	0.032118
1049	0.032116
1050	0.032113
1051	0.032111
1052	0.032108
1053	0.032105
1054	0.032103
1055	0.032100
1056	0.032097
1057	0.032095
1058	0.032092
1059	0.032089
1060	0.032087
1061	0.032084
1062	0.032081
1063	0.032078
1064	0.032076
1065	0.032073
1066	0.032070
1067	0.032068
1068	0.032065
1069	0.032062
1070	0.032060
1071	0.032057
1072	0.032054
1073	0.032051
1074	0.032049
1075	0.032046
1076	0.032043
1077	0.032041
1078	0.032038
1079	0.032035
1080	0.032032
1081	0.032030
1082	0.032027
1083	0.032024
1084	0.032021
1085	0.032019
1086	0.032016
1087	0.032013
1088	0.032010
1089	0.032008
1090	0.032005
1091	0.032002
1092	0.031999
1093	0.031997
1094	0.031994
1095	0.031991
1096	0.031988
1097	0.031985
1098	0.031983
1099	0.031980
1100	0.031977
1101	0.031974
1102	0.031971
1103	0.031969
1104	0.031966
1105	0.031963
1106	0.031960
1107	0.031957
1108	0.031955
1109	0.031952
1110	0.031949
1111	0.031946
1112	0.031943
1113	0.031941
1114	0.031938
1115	0.031935
1116	0.031932
1117	0.031929
1118	0.031926
1119	0.031923
1120	0.031921
1121	0.031918
1122	0.031915
1123	0.031912
1124	0.031909
1125	0.031906
1126	0.031903
1127	0.031901
1128	0.031898
1129	0.031895
1130	0.031892
1131	0.031889
1132	0.031886
1133	0.031883
1134	0.031880
1135	0.031878
1136	0.031875
1137	0.031872
1138	0.031869
1139	0.031866
1140	0.031863
1141	0.031860
1142	0.031857
1143	0.031854
1144	0.031851
1145	0.031848
1146	0.031845
1147	0.031843
1148	0.031840
1149	0.031837
1150	0.031834
1151	0.031831
1152	0.031828
1153	0.031825
1154	0.031822
1155	0.031819
1156	0.031816
1157	0.031813
1158	0.031810
1159	0.031807
1160	0.031804
1161	0.031801
1162	0.031798
1163	0.031795
1164	0.031792
1165	0.031789
1166	0.031786
1167	0.031783
1168	0.031780
1169	0.031777
1170	0.031774
1171	0.031771
1172	0.031768
1173	0.031765
1174	0.031762
1175	0.031759
1176	0.031756
1177	0.031753
1178	0.031750
1179	0.031747
1180	0.031744
1181	0.031741
1182	0.031738
1183	0.031735
1184	0.031732
1185	0.031729
1186	0.031726
1187	0.031723
1188	0.031720
1189	0.031717
1190	0.031714
1191	0.031711
1192	0.031708
1193	0.031704
1194	0.031701
1195	0.031698
1196	0.031695
1197	0.031692
1198	0.031689
1199	0.031686
1200	0.031683
1201	0.031680
1202	0.031677
1203	0.031674
1204	0.031670
1205	0.031667
1206	0.031664
1207	0.031661
1208	0.031658
1209	0.031655
1210	0.031652
1211	0.031649
1212	0.031645
1213	0.031642
1214	0.031639
1215	0.031636
1216	0.031633
1217	0.031630
1218	0.031627
1219	0.031623
1220	0.031620
1221	0.031617
1222	0.031614
1223	0.031611
1224	0.031608
1225	0.031604
1226	0.031601
1227	0.031598
1228	0.031595
1229	0.031592
1230	0.031588
1231	0.031585
1232	0.031582
1233	0.031579
1234	0.031576
1235	0.031572
1236	0.031569
1237	0.031566
1238	0.031563
1239	0.031560
1240	0.031556
1241	0.031553
1242	0.031550
1243	0.031547
1244	0.031543
1245	0.031540
1246	0.031537
1247	0.031534
1248	0.031530
1249	0.031527
1250	0.031524
1251	0.031521
1252	0.031517
1253	0.031514
1254	0.031511
1255	0.031508
1256	0.031504
1257	0.031501
1258	0.031498
1259	0.031494
1260	0.031491
1261	0.031488
1262	0.031485
1263	0.031481
1264	0.031478
1265	0.031475
1266	0.031471
1267	0.031468
1268	0.031465
1269	0.031461
1270	0.031458
1271	0.031455
1272	0.031451
1273	0.031448
1274	0.031445
1275	0.031441
1276	0.031438
1277	0.031435
1278	0.031431
1279	0.031428
1280	0.031425
1281	0.031421
1282	0.031418
1283	0.031415
1284	0.031411
1285	0.031408
1286	0.031404
1287	0.031401
1288	0.031398
1289	0.031394
1290	0.031391
1291	0.031387
1292	0.031384
1293	0.031381
1294	0.031377
1295	0.031374
1296	0.031370
1297	0.031367
1298	0.031364
1299	0.031360
1300	0.031357
1301	0.031353
1302	0.031350
1303	0.031346
1304	0.031343
1305	0.031340
1306	0.031336
1307	0.031333
1308	0.031329
1309	0.031326
1310	0.031322
1311	0.031319
1312	0.031315
1313	0.031312
1314	0.031308
1315	0.031305
1316	0.031301
1317	0.031298
1318	0.031294
1319	0.031291
1320	0.031287
1321	0.031284
1322	0.031280
1323	0.031277
1324	0.031273
1325	0.031270
1326	0.031266
1327	0.031263
1328	0.031259
1329	0.031256
1330	0.031252
1331	0.031249
1332	0.031245
1333	0.031242
1334	0.031238
1335	0.031234
1336	0.031231
1337	0.031227
1338	0.031224
1339	0.031220
1340	0.031217
1341	0.031213
1342	0.031210
1343	0.031206
1344	0.031202
1345	0.031199
1346	0.031195
1347	0.031192
1348	0.031188
1349	0.031184
1350	0.031181
1351	0.031177
1352	0.031174
1353	0.031170
1354	0.031166
1355	0.031163
1356	0.031159
1357	0.031155
1358	0.031152
1359	0.031148
1360	0.031144
1361	0.031141
1362	0.031137
1363	0.031134
1364	0.031130
1365	0.031126
1366	0.031123
1367	0.031119
1368	0.031115
1369	0.031112
1370	0.031108
1371	0.031104
1372	0.031100
1373	0.031097
1374	0.031093
1375	0.031089
1376	0.031086
1377	0.031082
1378	0.031078
1379	0.031075
1380	0.031071
1381	0.031067
1382	0.031063
1383	0.031060
1384	0.031056
1385	0.031052
1386	0.031048
1387	0.031045
1388	0.031041
1389	0.031037
1390	0.031033
1391	0.031030
1392	0.031026
1393	0.031022
1394	0.031018
1395	0.031015
1396	0.031011
1397	0.031007
1398	0.031003
1399	0.031000
1400	0.030996
1401	0.030992
1402	0.030988
1403	0.030984
1404	0.030981
1405	0.030977
1406	0.030973
1407	0.030969
1408	0.030965
1409	0.030961
1410	0.030958
1411	0.030954
1412	0.030950
1413	0.030946
1414	0.030942
1415	0.030938
1416	0.030935
1417	0.030931
1418	0.030927
1419	0.030923
1420	0.030919
1421	0.030915
1422	0.030911
1423	0.030908
1424	0.030904
1425	0.030900
1426	0.030896
1427	0.030892
1428	0.030888
1429	0.030884
1430	0.030880
1431	0.030876
1432	0.030872
1433	0.030869
1434	0.030865
1435	0.030861
1436	0.030857
1437	0.030853
1438	0.030849
1439	0.030845
1440	0.030841
1441	0.030837
1442	0.030833
1443	0.030829
1444	0.030825
1445	0.030821
1446	0.030817
1447	0.030813
1448	0.030809
1449	0.030805
1450	0.030801
1451	0.030797
1452	0.030793
1453	0.030789
1454	0.030785
1455	0.030781
1456	0.030777
1457	0.030773
1458	0.030769
1459	0.030765
1460	0.030761
1461	0.030757
1462	0.030753
1463	0.030749
1464	0.030745
1465	0.030741
1466	0.030737
1467	0.030733
1468	0.030729
1469	0.030725
1470	0.030721
1471	0.030717
1472	0.030713
1473	0.030709
1474	0.030705
1475	0.030701
1476	0.030697
1477	0.030692
1478	0.030688
1479	0.030684
1480	0.030680
1481	0.030676
1482	0.030672
1483	0.030668
1484	0.030664
1485	0.030660
1486	0.030656
1487	0.030651
1488	0.030647
1489	0.030643
1490	0.030639
1491	0.030635
1492	0.030631
1493	0.030627
1494	0.030622
1495	0.030618
1496	0.030614
1497	0.030610
1498	0.030606
1499	0.030602
1500	0.030597
1501	0.030593
1502	0.030589
1503	0.030585
1504	0.030581
1505	0.030577
1506	0.030572
1507	0.030568
1508	0.030564
1509	0.030560
1510	0.030556
1511	0.030551
1512	0.030547
1513	0.030543
